Land-Ocean: Northern Hemispheric Means,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1929,-0.56,-0.79,-0.19,-0.35,-0.28,-0.39,-0.36,-0.2,-0.2,-0.01,-0.02,-0.66,-0.34,-0.28,-0.46,-0.27,-0.32,-0.08
1930,-0.12,-0.19,0.11,-0.16,-0.2,-0.12,-0.03,0.01,-0.02,0.02,0.44,0.08,-0.01,-0.07,-0.32,-0.08,-0.04,0.15
1931,0,-0.24,-0.06,-0.2,-0.14,0.15,0.07,0.09,0.17,0.36,0.25,0.09,0.04,0.04,-0.05,-0.13,0.1,0.26
1932,0.38,-0.19,-0.21,0.1,-0.1,-0.14,-0.15,-0.09,0.1,0.14,-0.32,-0.21,-0.06,-0.03,0.1,-0.07,-0.13,-0.03
1933,-0.19,-0.3,-0.32,-0.17,-0.26,-0.32,-0.14,-0.15,-0.28,-0.17,-0.25,-0.55,-0.26,-0.23,-0.23,-0.25,-0.2,-0.23
1934,-0.15,0.33,-0.27,-0.29,0.08,-0.02,-0.04,-0.1,-0.14,0.12,0.26,0.18,0,-0.06,-0.12,-0.16,-0.05,0.08
1935,-0.4,0.56,0.03,-0.35,-0.29,-0.15,-0.05,-0.07,-0.06,0.11,-0.32,-0.17,-0.1,-0.07,0.11,-0.21,-0.09,-0.09
1936,-0.29,-0.5,-0.13,-0.06,-0.01,0.04,0.09,0.03,0.06,0.07,0.14,0.15,-0.03,-0.06,-0.32,-0.07,0.05,0.09
1937,0.09,0.24,-0.23,-0.07,0.12,0.14,0.14,0.15,0.29,0.33,0.24,0,0.12,0.13,0.16,-0.06,0.15,0.29
1938,0.34,0.28,0.33,0.31,0.03,-0.07,-0.03,0.08,0.15,0.32,0.3,-0.14,0.16,0.17,0.21,0.22,0,0.26
1939,0.02,-0.01,-0.24,-0.07,0.01,0,0.04,0.08,0.13,0.08,0.24,0.78,0.09,0.01,-0.04,-0.1,0.04,0.15
1940,-0.1,0.14,0.03,0.28,0.16,0.16,0.15,0.07,0.27,0.29,0.3,0.36,0.18,0.21,0.27,0.16,0.13,0.28
1941,0.18,0.47,0.12,0.12,0.23,0.21,0.25,0.19,0.1,0.5,0.18,0.19,0.23,0.24,0.34,0.16,0.21,0.26
1942,0.41,-0.08,-0.01,0.09,0.16,0.1,-0.01,-0.08,0.11,0.28,0.26,0.27,0.13,0.12,0.17,0.08,0.01,0.21
1943,-0.1,0.38,-0.01,0.31,0.23,-0.07,-0.02,0.1,0.14,0.46,0.36,0.37,0.18,0.17,0.18,0.18,0,0.32
1944,0.62,0.43,0.31,0.18,0.23,0.17,0.14,0.16,0.35,0.44,0.19,-0.01,0.27,0.3,0.47,0.24,0.16,0.33
1945,0.11,-0.06,0.09,0.29,0.08,0.08,0.06,0.28,0.2,0.24,0.09,-0.21,0.1,0.12,0.01,0.15,0.14,0.18
1946,0.34,0.09,0.12,0.31,0.03,-0.05,-0.04,-0.1,-0.04,0.02,0.07,-0.45,0.03,0.05,0.07,0.15,-0.06,0.02
1947,-0.05,-0.04,0.28,0.22,0.06,0,-0.03,-0.05,-0.01,0.4,0.19,-0.05,0.08,0.04,-0.18,0.19,-0.03,0.19
1948,0.3,-0.15,-0.28,-0.03,0.17,0.04,0.01,0.02,-0.03,0.07,0.03,-0.39,-0.02,0.01,0.04,-0.05,0.02,0.03
1949,0.23,-0.09,0.04,-0.03,0,-0.2,-0.11,-0.05,-0.1,0.07,0.05,-0.14,-0.03,-0.05,-0.09,0.01,-0.12,0.01
1950,-0.29,-0.27,0.06,-0.22,-0.05,-0.07,-0.19,-0.2,-0.09,-0.06,-0.33,-0.13,-0.15,-0.15,-0.23,-0.07,-0.15,-0.16
1951,-0.36,-0.52,-0.18,0.07,0.17,-0.02,0.08,0.22,0.33,0.28,0.08,0.38,0.04,0,-0.34,0.02,0.09,0.23
1952,0.16,0.17,-0.22,0.17,0.14,0.15,0.13,0.07,0.14,-0.02,-0.21,0.01,0.06,0.09,0.24,0.03,0.12,-0.03
1953,0.24,0.37,0.25,0.41,0.24,0.25,0.21,0.18,0.17,0.27,0.08,0.22,0.24,0.22,0.2,0.3,0.21,0.17
1954,-0.24,0,-0.17,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11,-0.02,0.01,-0.01,-0.08,-0.05,0.19
1955,0.42,-0.13,-0.43,-0.24,-0.13,-0.1,-0.05,0.06,-0.02,0.12,-0.34,-0.29,-0.09,-0.08,0.06,-0.27,-0.03,-0.08
1956,-0.05,-0.32,-0.23,-0.26,-0.3,-0.2,-0.2,-0.28,-0.32,-0.28,-0.26,-0.11,-0.23,-0.25,-0.22,-0.27,-0.23,-0.29
1957,-0.14,-0.06,-0.1,-0.1,-0.06,0.12,0.11,0.16,0.12,0.06,0.12,0.24,0.04,0.01,-0.1,-0.08,0.13,0.1
1958,0.68,0.28,0.16,0.02,0.12,0.04,0.04,0.13,0.07,0.08,0.03,0.18,0.15,0.16,0.4,0.1,0.07,0.06
1959,0.24,0.16,0.32,0.22,0.04,0.14,0.05,0.09,0.13,-0.04,0.02,0.09,0.12,0.13,0.19,0.19,0.09,0.04
1960,0.15,0.42,-0.4,-0.13,0.03,0.19,0.09,0.11,0.12,0.05,-0.08,0.39,0.08,0.05,0.22,-0.16,0.13,0.03
1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.02,-0.04,0.07,-0.17,0.09,0.13,0.29,0.14,0.09,0
1962,0.28,0.36,0.3,0.22,0.02,-0.13,0.1,0.04,-0.02,0.13,0.12,0.1,0.13,0.1,0.16,0.18,0,0.08
1963,0.07,0.5,-0.12,0.04,-0.05,-0.04,0.1,0.14,0.13,0.42,0.43,0.02,0.14,0.14,0.22,-0.04,0.07,0.33
1964,-0.05,-0.03,-0.32,-0.3,-0.1,-0.09,-0.13,-0.23,-0.28,-0.31,-0.22,-0.27,-0.19,-0.17,-0.02,-0.24,-0.15,-0.27
1965,-0.02,-0.37,-0.1,-0.26,-0.13,-0.2,-0.18,-0.2,-0.2,-0.02,0.04,-0.08,-0.14,-0.16,-0.22,-0.16,-0.2,-0.06
1966,-0.25,0.03,0,-0.22,-0.05,0.06,0.11,0.14,0.06,-0.1,0.02,-0.03,-0.02,-0.02,-0.1,-0.09,0.1,0
1967,-0.18,-0.37,0.23,0.05,0.21,-0.06,0.05,0.06,-0.03,0.29,0.04,0.02,0.03,0.02,-0.19,0.16,0.02,0.1
1968,-0.29,-0.16,0.44,0,-0.06,-0.05,-0.08,-0.08,-0.05,0,-0.22,-0.33,-0.07,-0.04,-0.14,0.13,-0.07,-0.09
1969,-0.43,-0.45,-0.2,0.03,0.11,-0.04,0.06,0.05,0.04,0.03,0.15,0.31,-0.03,-0.08,-0.4,-0.02,0.02,0.07
1970,-0.02,0.28,-0.07,-0.02,0,0.02,-0.04,-0.05,-0.05,-0.2,0.01,-0.31,-0.04,0.01,0.19,-0.03,-0.03,-0.08
1971,-0.14,-0.21,-0.28,-0.2,-0.12,-0.14,-0.13,-0.16,-0.14,-0.16,-0.01,-0.14,-0.15,-0.17,-0.22,-0.2,-0.14,-0.1
1972,-0.54,-0.52,0.01,-0.11,-0.15,-0.1,-0.05,-0.08,-0.26,-0.04,-0.2,-0.04,-0.17,-0.18,-0.4,-0.09,-0.08,-0.17
1973,0.15,0.44,0.32,0.19,0.09,0.16,0.04,0.03,-0.08,-0.07,-0.09,-0.04,0.1,0.09,0.18,0.2,0.08,-0.08
1974,-0.25,-0.35,0.03,-0.1,-0.19,-0.18,-0.12,-0.11,-0.16,-0.22,-0.2,-0.27,-0.18,-0.16,-0.21,-0.09,-0.14,-0.19
1975,0.16,0.09,0.11,0.05,-0.02,-0.08,-0.06,-0.13,-0.07,-0.18,-0.3,-0.22,-0.05,-0.06,0,0.05,-0.09,-0.18
1976,0.05,-0.12,-0.31,0.02,-0.26,-0.19,-0.26,-0.21,-0.12,-0.51,-0.31,-0.25,-0.21,-0.2,-0.1,-0.18,-0.22,-0.31
1977,-0.16,0.11,0.27,0.25,0.23,0.23,0.08,0.02,0.13,-0.01,0.28,0.02,0.12,0.1,-0.1,0.25,0.11,0.13
1978,0.17,0.05,0.22,0.08,-0.06,-0.14,-0.07,-0.14,-0.01,0,0.16,0.02,0.02,0.02,0.08,0.08,-0.12,0.05
1979,-0.05,-0.35,0.18,-0.17,0.01,0.08,0.05,0.04,0.19,0.23,0.25,0.55,0.09,0.04,-0.13,0.01,0.06,0.22
1980,0.21,0.41,0.07,0.15,0.26,0.19,0.14,0.09,0.1,0.12,0.2,0.09,0.17,0.21,0.39,0.16,0.14,0.14
1981,0.79,0.63,0.67,0.39,0.18,0.28,0.09,0.16,0.14,0.23,0.35,0.54,0.37,0.33,0.5,0.42,0.18,0.24
1982,-0.13,0.17,0.06,0.17,0.09,0.01,0.04,-0.07,0.06,0,-0.11,0.38,0.06,0.07,0.19,0.11,0,-0.02
1983,0.55,0.35,0.42,0.07,0.06,0.11,0.21,0.26,0.26,0.13,0.49,0.11,0.25,0.27,0.43,0.18,0.19,0.29
1984,0.34,0.02,0.18,-0.07,0.23,0.09,0.09,0.06,-0.03,0.09,-0.1,-0.42,0.04,0.08,0.16,0.12,0.08,-0.02
1985,0.07,-0.29,0,-0.03,0.09,0.01,-0.07,-0.02,0.03,0.03,0.02,0.16,0,-0.05,-0.21,0.02,-0.03,0.03
1986,0.37,0.31,0.26,0.15,0.2,0.14,-0.02,0.05,-0.02,0.09,0.04,0.06,0.14,0.14,0.28,0.2,0.06,0.04
1987,0.25,0.51,0,0.07,0.23,0.17,0.26,0.27,0.39,0.22,0.11,0.51,0.25,0.21,0.27,0.1,0.23,0.24
1988,0.59,0.46,0.48,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.06,0.43,0.37,0.38,0.52,0.45,0.36,0.19
1989,0.08,0.39,0.45,0.32,0.22,0.24,0.32,0.26,0.25,0.25,0.12,0.34,0.27,0.28,0.3,0.33,0.27,0.2
1990,0.48,0.55,1.16,0.71,0.5,0.48,0.33,0.41,0.42,0.48,0.46,0.39,0.53,0.53,0.45,0.79,0.41,0.45
1991,0.6,0.57,0.46,0.56,0.33,0.48,0.43,0.35,0.36,0.29,0.33,0.21,0.41,0.43,0.52,0.45,0.42,0.33
1992,0.61,0.5,0.55,0.16,0.19,0.05,-0.1,-0.07,-0.18,-0.17,-0.08,0.21,0.14,0.14,0.44,0.3,-0.04,-0.15
1993,0.39,0.52,0.39,0.23,0.32,0.22,0.12,0.03,-0.06,0.12,-0.21,0.22,0.19,0.19,0.38,0.31,0.12,-0.05
1994,0.34,-0.04,0.5,0.49,0.39,0.42,0.34,0.32,0.33,0.54,0.5,0.36,0.37,0.36,0.17,0.46,0.36,0.46
1995,0.75,1.19,0.59,0.72,0.41,0.51,0.38,0.54,0.43,0.6,0.57,0.27,0.58,0.59,0.77,0.57,0.47,0.53
1996,0.27,0.55,0.32,0.18,0.35,0.25,0.29,0.19,0.04,0.05,0.35,0.35,0.26,0.26,0.36,0.28,0.24,0.15
1997,0.34,0.6,0.74,0.49,0.42,0.49,0.42,0.48,0.52,0.63,0.59,0.5,0.52,0.51,0.43,0.55,0.46,0.58
1998,0.62,1.04,0.72,0.87,0.66,0.73,0.75,0.72,0.61,0.54,0.48,0.73,0.71,0.69,0.72,0.75,0.73,0.54
1999,0.59,1,0.29,0.54,0.36,0.35,0.36,0.3,0.4,0.39,0.53,0.66,0.48,0.49,0.77,0.4,0.34,0.44
2000,0.38,0.89,0.83,0.89,0.55,0.44,0.42,0.47,0.37,0.29,0.2,0.27,0.5,0.53,0.64,0.76,0.44,0.28
2001,0.57,0.46,0.76,0.6,0.69,0.51,0.63,0.68,0.56,0.6,0.98,0.65,0.64,0.61,0.43,0.68,0.61,0.71
2002,1.02,1.14,1.12,0.51,0.52,0.68,0.67,0.55,0.62,0.54,0.79,0.42,0.71,0.73,0.94,0.71,0.63,0.65
2003,0.93,0.56,0.67,0.61,0.72,0.55,0.68,0.86,0.78,0.99,0.66,0.99,0.75,0.7,0.64,0.66,0.7,0.81
2004,0.67,0.92,0.87,0.7,0.52,0.47,0.5,0.55,0.6,0.7,0.99,0.45,0.66,0.7,0.86,0.7,0.5,0.76
2005,0.94,0.72,0.94,0.93,0.78,0.79,0.75,0.69,0.9,0.95,1.06,0.84,0.86,0.83,0.7,0.88,0.75,0.97
2006,0.65,0.95,0.78,0.59,0.76,0.81,0.69,0.69,0.82,0.96,0.95,1.15,0.82,0.79,0.82,0.71,0.73,0.91
2007,1.45,0.9,0.96,1.07,0.72,0.65,0.66,0.73,0.67,0.83,0.82,0.77,0.85,0.89,1.17,0.92,0.68,0.78
2008,0.34,0.58,1.14,0.65,0.6,0.61,0.6,0.6,0.58,0.86,0.97,0.66,0.68,0.69,0.56,0.8,0.6,0.8
2009,0.82,0.7,0.6,0.71,0.66,0.68,0.68,0.72,0.85,0.79,0.85,0.67,0.73,0.73,0.73,0.65,0.7,0.83
2010,0.81,0.94,1.1,1.13,0.94,0.85,0.89,0.87,0.71,0.9,1.21,0.5,0.9,0.92,0.81,1.06,0.87,0.94
2011,0.61,0.57,0.88,0.85,0.66,0.76,0.73,0.71,0.74,0.91,0.66,0.88,0.75,0.72,0.56,0.8,0.73,0.77
2012,0.68,0.59,0.72,1.07,0.97,0.94,0.86,0.76,0.87,0.91,0.98,0.46,0.82,0.85,0.72,0.92,0.85,0.92
2013,0.85,0.79,0.82,0.69,0.78,0.77,0.7,0.74,0.7,0.83,1.13,0.84,0.8,0.77,0.7,0.76,0.74,0.89
2014,0.98,0.72,1.2,1.09,0.91,0.82,0.77,0.91,0.84,0.94,0.82,1.11,0.93,0.9,0.84,1.07,0.84,0.86
2015,1.18,1.2,1.33,1.02,1.05,1.06,0.92,1.02,1.18,1.3,1.39,1.54,1.18,1.15,1.16,1.13,1,1.29
2016,1.55,1.95,1.91,1.49,1.12,1.13,1.05,1.13,1.23,1.04,1.12,1.04,1.31,1.35,1.68,1.51,1.1,1.13
2017,1.4,1.53,1.52,1.21,0.93,0.93,0.97,1.02,1.01,1.05,1.23,1.4,1.18,1.15,1.32,1.22,0.98,1.1
2018,1.14,1.25,1.18,0.98,1.02,0.87,0.91,0.87,0.97,1.25,1,1.11,1.05,1.07,1.26,1.06,0.88,1.08
2019,1.21,1.14,1.55,1.26,0.99,1.2,1.04,1.09,1.22,1.31,1.21,1.4,1.22,1.19,1.15,1.27,1.11,1.25
2020,1.6,1.72,1.67,1.41,1.28,1.14,1.11,1.13,1.2,1.22,1.64,***,***,1.38,1.57,1.46,1.13,1.35
